neighbourhood_group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room_type,construction_year,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_rate_number,calculated_host_listings_count,availability_365,occupancy_rate,estimated_occupied_nights,estimated_revenue,log_price
Brooklyn,Williamsburg,40.71154,-73.96112,False,moderate,Private room,2017.0,1057,3,61.0,2019-04-22,0.54,3.0,4.0,96.0,0.736986301369863,269.0,284333.0,6.963189985870238
Manhattan,Harlem,40.82915,-73.95136,True,flexible,Entire home/apt,2005.0,1056,31,54.0,2019-03-23,0.49,3.0,1.0,96.0,0.736986301369863,269.0,284064.0,6.962243464266207
Manhattan,Lower East Side,40.71851,-73.98892,False,moderate,Entire home/apt,2017.0,909,5,70.0,,0.62,4.0,1.0,96.0,0.736986301369863,269.0,244521.0,6.812345094177479
Brooklyn,Flatbush,40.65401,-73.96323,True,moderate,Entire home/apt,2017.0,586,6,16.0,2019-06-15,0.15,4.0,1.0,96.0,0.736986301369863,269.0,157634.0,6.373319789577012
Manhattan,Lower East Side,40.7114,-73.98794,True,strict,Private room,2013.0,575,30,94.0,2019-04-08,0.84,3.0,1.0,96.0,0.736986301369863,269.0,154675.0,6.354370040797351
Brooklyn,Brooklyn Heights,40.69723,-73.99268,False,strict,Entire home/apt,2013.0,292,1,25.0,2016-08-04,0.24,3.0,1.0,96.0,0.736986301369863,269.0,78548.0,5.676753802268282
Brooklyn,Williamsburg,40.71833,-73.95748,True,strict,Entire home/apt,2007.0,194,3,61.0,2018-08-09,0.53,4.0,1.0,96.0,0.736986301369863,269.0,52186.0,5.267858159063328
Manhattan,East Village,40.72334,-73.9844,False,flexible,Private room,2022.0,123,3,194.0,2019-06-30,1.73,2.0,1.0,96.0,0.736986301369863,269.0,33087.0,4.812184355372417
Manhattan,East Village,40.72912,-73.98057,False,strict,Private room,2004.0,1079,1,2.0,2016-02-14,0.05,5.0,1.0,96.0,0.736986301369863,269.0,290251.0,6.983789965258135
Manhattan,West Village,40.73096,-74.00319,False,strict,Entire home/apt,2012.0,1078,3,46.0,2019-05-18,0.55,2.0,2.0,96.0,0.736986301369863,269.0,289982.0,6.982862751468942
Brooklyn,Williamsburg,40.71332,-73.94177,False,moderate,Private room,2004.0,887,3,335.0,2019-05-29,3.02,1.0,1.0,61.0,0.8328767123287671,304.0,269648.0,6.787844982309579
Brooklyn,Park Slope,40.66941,-73.98109,False,moderate,Entire home/apt,2008.0,243,30,88.0,2018-11-02,0.79,2.0,1.0,267.0,0.2684931506849315,98.0,23814.0,5.493061443340548
Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,False,flexible,Entire home/apt,2016.0,500,90,162.0,2019-06-28,1.46,3.0,2.0,189.0,0.4821917808219178,176.0,88000.0,6.214608098422191
Brooklyn,Williamsburg,40.71459,-73.94844,False,strict,Entire home/apt,2017.0,589,30,29.0,2018-05-26,0.4,1.0,1.0,83.0,0.7726027397260274,282.0,166098.0,6.3784261836515865
Manhattan,Harlem,40.8092,-73.94421,True,flexible,Private room,2005.0,839,2,170.0,2019-06-23,1.61,1.0,1.0,258.0,0.29315068493150687,107.0,89773.0,6.732210706467206
Brooklyn,Gowanus,40.68157,-73.98989,False,strict,Entire home/apt,2011.0,528,30,19.0,2017-03-17,0.2,2.0,1.0,365.0,0.0,0.0,0.0,6.269096283706261
Manhattan,Hell's Kitchen,40.75527,-73.99291,True,strict,Private room,2014.0,66,2,334.0,2019-06-16,3.0,1.0,2.0,34.0,0.9068493150684932,331.0,21846.0,4.189654742026425
Brooklyn,Clinton Hill,40.68698,-73.96572,True,flexible,Private room,2014.0,761,2,19.0,2019-06-02,0.2,4.0,6.0,203.0,0.4438356164383562,162.0,123282.0,6.634633357861686
Manhattan,East Village,40.7288,-73.98192,True,flexible,Entire home/apt,2007.0,523,7,12.0,,0.13,5.0,1.0,35.0,0.9041095890410958,330.0,172590.0,6.259581464064923
Brooklyn,South Slope,40.66853,-73.98912,True,strict,Entire home/apt,2004.0,631,30,467.0,2018-12-30,4.22,3.0,2.0,280.0,0.2328767123287671,85.0,53635.0,6.447305862541213
Manhattan,Harlem,40.81618,-73.94894,True,flexible,Entire home/apt,2005.0,449,3,155.0,2019-06-20,1.42,3.0,3.0,365.0,0.0,0.0,0.0,6.1070228877422545
Brooklyn,Clinton Hill,40.68414,-73.96351,False,moderate,Private room,2018.0,930,3,260.0,2019-07-03,2.35,4.0,1.0,365.0,0.0,0.0,0.0,6.835184586147301
Manhattan,East Village,40.72392,-73.99143,False,strict,Entire home/apt,2006.0,329,5,73.0,2019-06-25,0.66,4.0,1.0,13.0,0.9643835616438357,352.0,115808.0,5.796057750765372
Brooklyn,Greenpoint,40.73494,-73.9503,False,flexible,Private room,2006.0,1125,3,193.0,2019-05-20,1.86,2.0,1.0,62.0,0.8301369863013699,303.0,340875.0,7.025538314638521
Manhattan,Lower East Side,40.71341,-73.98856,False,moderate,Entire home/apt,2013.0,1099,3,32.0,2019-06-14,0.29,5.0,1.0,62.0,0.8301369863013699,303.0,332997.0,7.002155954403621
Manhattan,Hell's Kitchen,40.76754,-73.98399,False,strict,Private room,2013.0,256,2,50.0,2019-05-26,0.45,2.0,3.0,365.0,0.0,0.0,0.0,5.545177444479562
Manhattan,West Village,40.73442,-74.00303,False,strict,Entire home/apt,2013.0,263,29,26.0,2019-07-01,0.25,5.0,1.0,338.0,0.07397260273972603,27.0,7101.0,5.572154032177765
Brooklyn,Flatlands,40.63188,-73.93248,True,moderate,Private room,2020.0,96,2,2.0,2019-01-01,0.02,4.0,1.0,334.0,0.08493150684931507,31.0,2976.0,4.564348191467836
Brooklyn,Clinton Hill,40.6873,-73.9634,True,strict,Private room,2021.0,1192,3,426.0,2019-06-24,3.89,3.0,3.0,92.0,0.7479452054794521,273.0,325416.0,7.083387847625295
Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,False,flexible,Entire home/apt,2010.0,593,3,227.0,2019-06-23,2.09,5.0,2.0,0.0,1.0,365.0,216445.0,6.385194398997726
Brooklyn,Clinton Hill,40.6863,-73.96765,True,flexible,Private room,2012.0,490,3,84.0,,0.77,2.0,3.0,365.0,0.0,0.0,0.0,6.194405391104672
Brooklyn,Williamsburg,40.71561,-73.94835,True,moderate,Entire home/apt,2004.0,658,3,10.0,,0.1,5.0,1.0,0.0,1.0,365.0,240170.0,6.489204931325317
Brooklyn,Cobble Hill,40.6857,-73.99183,False,flexible,Entire home/apt,2017.0,1109,3,4.0,,0.04,3.0,1.0,351.0,0.038356164383561646,14.0,15526.0,7.011213987350367
Queens,Flushing,40.74028,-73.83168,True,strict,Private room,2018.0,606,3,1.0,,0.01,4.0,1.0,365.0,0.0,0.0,0.0,6.406879986069314
Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,False,moderate,Entire home/apt,2007.0,853,3,124.0,,1.72,2.0,2.0,16.0,0.9561643835616438,349.0,297697.0,6.748759547491679
Brooklyn,Williamsburg,40.71596,-73.93938,False,strict,Entire home/apt,2011.0,172,3,11.0,2019-07-02,0.11,3.0,1.0,325.0,0.1095890410958904,40.0,6880.0,5.147494476813453
Brooklyn,Williamsburg,40.71165,-73.96087,False,moderate,Private room,2003.0,1133,3,200.0,2019-06-22,1.86,5.0,4.0,166.0,0.5452054794520548,199.0,225467.0,7.0326242610280065
Brooklyn,Fort Greene,40.69101,-73.97312,True,strict,Private room,2014.0,162,8,27.0,2019-06-29,1.05,4.0,5.0,18.0,0.9506849315068493,347.0,56214.0,5.087596335232384
Manhattan,West Village,40.73474,-74.00101,False,moderate,Private room,2009.0,944,4,79.0,2019-06-22,0.74,3.0,1.0,130.0,0.6438356164383562,235.0,221840.0,6.8501261661455
Brooklyn,Prospect Heights,40.67386,-73.96641,True,moderate,Private room,2009.0,505,15,9.0,2013-05-10,0.09,2.0,1.0,43.0,0.8821917808219178,322.0,162610.0,6.22455842927536
Brooklyn,Williamsburg,40.71536,-73.96057,True,strict,Private room,2009.0,113,3,155.0,2019-06-13,1.61,2.0,1.0,18.0,0.9506849315068493,347.0,39211.0,4.727387818712341
Brooklyn,Prospect Heights,40.6741,-73.96595,False,flexible,Entire home/apt,2020.0,810,15,4.0,2018-08-27,0.05,3.0,1.0,0.0,1.0,365.0,295650.0,6.697034247666484
Manhattan,East Harlem,40.79295,-73.93997,True,moderate,Private room,2022.0,370,2,34.0,,0.32,5.0,1.0,365.0,0.0,0.0,0.0,5.91350300563827
Manhattan,West Village,40.73226,-74.00401,False,moderate,Entire home/apt,2018.0,738,45,134.0,,1.24,3.0,1.0,365.0,0.0,0.0,0.0,6.6039438246004725
Brooklyn,Williamsburg,40.71363,-73.96398,False,moderate,Entire home/apt,2007.0,1013,6,27.0,,0.25,3.0,1.0,365.0,0.0,0.0,0.0,6.920671504248683
Manhattan,Upper East Side,40.77711,-73.9527,False,moderate,Entire home/apt,2004.0,464,4,126.0,,1.16,1.0,2.0,280.0,0.2328767123287671,85.0,39440.0,6.139884552226255
Brooklyn,Boerum Hill,40.68559,-73.98094,False,moderate,Entire home/apt,2006.0,744,3,23.0,,0.27,2.0,1.0,365.0,0.0,0.0,0.0,6.612041034833092
Manhattan,Upper East Side,40.77456,-73.95323,False,moderate,Entire home/apt,2014.0,764,1,234.0,2019-06-08,2.6,5.0,2.0,353.0,0.03287671232876712,12.0,9168.0,6.638567789166521
Queens,Sunnyside,40.74559,-73.92313,False,moderate,Private room,2018.0,355,30,28.0,2019-04-12,0.26,1.0,1.0,365.0,0.0,0.0,0.0,5.872117789475416
Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,False,moderate,Entire home/apt,2008.0,244,2,309.0,2019-06-22,,4.0,2.0,169.0,0.536986301369863,196.0,47824.0,5.497168225293202
Brooklyn,DUMBO,40.70207,-73.98571,True,strict,Private room,2016.0,385,47,14.0,2021-04-25,,2.0,1.0,190.0,0.4794520547945205,175.0,67375.0,5.953243334287785
Manhattan,Upper East Side,40.76123,-73.9642,False,flexible,Entire home/apt,2021.0,950,81,4.0,2016-09-23,,1.0,1.0,335.0,0.0821917808219178,30.0,28500.0,6.856461984594587
Brooklyn,Gowanus,40.66858,-73.99083,False,strict,Entire home/apt,2021.0,374,144,80.0,2019-07-06,,2.0,1.0,52.0,0.8575342465753425,313.0,117062.0,5.924255797414532
Manhattan,Harlem,40.82704,-73.94907,False,flexible,Entire home/apt,2011.0,375,365,2.0,2015-11-02,,4.0,1.0,70.0,0.8082191780821918,295.0,110625.0,5.926926025970411
Brooklyn,Carroll Gardens,40.6783,-74.00135,False,moderate,Entire home/apt,2008.0,842,273,150.0,2019-06-18,1.4,5.0,3.0,141.0,0.6136986301369863,224.0,188608.0,6.7357800142423265
Staten Island,St. George,40.64524,-74.08088,True,strict,Private room,2003.0,1015,131,166.0,2019-06-13,1.66,4.0,1.0,0.0,1.0,365.0,370475.0,6.922643891475888
Brooklyn,Bushwick,40.70641,-73.91765,False,moderate,Private room,2014.0,503,275,47.0,2019-06-19,0.94,5.0,1.0,263.0,0.27945205479452057,102.0,51306.0,6.220590170099739
Bronx,Highbridge,40.83232,-73.93184,True,flexible,Private room,2006.0,483,323,219.0,2019-07-04,2.04,1.0,3.0,200.0,0.4520547945205479,165.0,79695.0,6.180016653652572
Brooklyn,Williamsburg,40.71045,-73.9677,False,strict,Entire home/apt,2005.0,176,59,193.0,2016-07-06,1.78,4.0,1.0,219.0,0.4,146.0,25696.0,5.170483995038151
Manhattan,East Village,40.72518,-73.98034,False,flexible,Private room,2020.0,185,99,84.0,2019-06-23,0.78,4.0,4.0,144.0,0.6054794520547945,221.0,40885.0,5.220355825078324
Manhattan,Financial District,40.70666,-74.01374,False,strict,Entire home/apt,2022.0,387,268,114.0,2019-06-20,1.06,4.0,1.0,320.0,0.1232876712328767,45.0,17415.0,5.958424693029782
Brooklyn,Fort Greene,40.69098,-73.97113,False,flexible,Private room,2008.0,1155,1,213.0,2019-06-24,2.0,5.0,2.0,19.0,0.947945205479452,346.0,399630.0,7.051855622955894
Manhattan,West Village,40.73756,-74.00405,False,strict,Entire home/apt,2017.0,665,189,86.0,2019-06-01,0.8,1.0,1.0,293.0,0.19726027397260273,72.0,47880.0,6.499787040655854
Manhattan,Harlem,40.81526,-73.94791,True,strict,Entire home/apt,2013.0,175,30,80.0,2019-05-26,0.75,2.0,3.0,58.0,0.8410958904109589,307.0,53725.0,5.1647859739235145
Manhattan,West Village,40.73423,-74.0046,True,strict,Entire home/apt,2012.0,408,340,38.0,2016-04-20,0.36,1.0,1.0,163.0,0.5534246575342465,202.0,82416.0,6.0112671744041615
Manhattan,Harlem,40.82374,-73.9373,False,strict,Entire home/apt,2019.0,601,128,18.0,2018-12-17,1.79,3.0,1.0,240.0,0.3424657534246575,125.0,75125.0,6.398594934535208
Brooklyn,Fort Greene,40.68863,-73.97691,False,flexible,Private room,2011.0,107,350,206.0,2019-06-30,1.92,4.0,2.0,96.0,0.736986301369863,269.0,28783.0,4.672828834461906
Queens,Ridgewood,40.70382,-73.89797,True,flexible,Entire home/apt,2011.0,724,166,10.0,2019-05-12,0.11,4.0,5.0,300.0,0.1780821917808219,65.0,47060.0,6.584791392385716
Manhattan,Morningside Heights,40.80549,-73.95924,False,strict,Private room,2019.0,450,110,122.0,2019-05-14,1.18,4.0,2.0,365.0,0.0,0.0,0.0,6.1092475827643655
Brooklyn,Williamsburg,40.71627,-73.9587,False,strict,Entire home/apt,2004.0,1153,57,33.0,2019-04-08,0.58,4.0,1.0,365.0,0.0,0.0,0.0,7.050122520269059
Brooklyn,Park Slope,40.67994,-73.97863,False,strict,Entire home/apt,2015.0,327,142,52.0,2019-06-05,0.5,4.0,1.0,83.0,0.7726027397260274,282.0,92214.0,5.7899601708972535
Manhattan,Hell's Kitchen,40.76307,-73.99665,False,moderate,Entire home/apt,2012.0,539,3,41.0,2025-06-26,0.38,2.0,1.0,96.0,0.736986301369863,269.0,144991.0,6.289715570908998
Manhattan,Lower East Side,40.71882,-73.98852,False,strict,Entire home/apt,2012.0,232,3,109.0,2019-06-15,1.04,2.0,1.0,96.0,0.736986301369863,269.0,62408.0,5.44673737166631
Brooklyn,South Slope,40.6693,-73.98804,False,flexible,Entire home/apt,2012.0,968,3,151.0,2019-06-22,1.43,4.0,3.0,96.0,0.736986301369863,269.0,260392.0,6.875232087276577
Manhattan,Upper East Side,40.77333,-73.95199,False,flexible,Private room,2012.0,460,14,0.0,,,1.0,2.0,96.0,0.736986301369863,269.0,123740.0,6.131226489483141
Manhattan,Lower East Side,40.72319,-73.99201,False,moderate,Private room,2012.0,81,1,285.0,2019-06-22,2.69,1.0,1.0,96.0,0.736986301369863,269.0,21789.0,4.394449154672439
Queens,Jamaica,40.67252,-73.76597,True,moderate,Private room,2012.0,1084,2,52.0,2019-05-20,0.49,2.0,2.0,96.0,0.736986301369863,269.0,291596.0,6.988413181999592
Manhattan,Hell's Kitchen,40.76244,-73.99271,True,flexible,Entire home/apt,2013.0,402,5,10.0,2019-07-01,1.01,3.0,1.0,96.0,0.736986301369863,269.0,108138.0,5.996452088619021
Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,False,moderate,Private room,2012.0,457,2,11.0,2017-11-13,0.48,3.0,1.0,96.0,0.736986301369863,269.0,122933.0,6.124683390894205
Queens,Middle Village,40.71722,-73.87856,False,moderate,Entire home/apt,2012.0,938,30,33.0,2015-05-09,0.31,4.0,5.0,96.0,0.736986301369863,269.0,252322.0,6.843749949006225
Queens,Ridgewood,40.70234,-73.89816,False,moderate,Private room,2012.0,405,7,6.0,2015-10-08,0.06,3.0,5.0,365.0,0.0,0.0,0.0,6.003887067106539
